Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,2,60,50,55,52,Fail
2,5,75,65,70,68,Pass
3,6,80,70,72,75,Pass
4,1,50,40,45,42,Fail
5,7,90,85,88,90,Pass
6,3,65,55,60,58,Fail
7,8,95,90,92,94,Pass
8,4,70,60,65,63,Pass
9,2,55,48,50,47,Fail
10,6,85,78,80,82,Pass
11,3,60,52,55,54,Fail
12,7,88,82,85,87,Pass
13,1,45,35,40,38,Fail
14,5,78,68,70,72,Pass
15,4,72,62,64,66,Pass
16,2,58,49,52,50,Fail
17,6,82,75,78,80,Pass
18,3,67,58,60,59,Fail
19,7,91,86,89,92,Pass
20,4,74,63,66,68,Pass
21,2,59,51,53,52,Fail
22,5,77,67,71,70,Pass
23,6,83,76,79,81,Pass
24,1,48,38,42,40,Fail
25,7,89,84,87,88,Pass
26,3,66,56,59,57,Fail
27,8,96,91,93,95,Pass
28,4,71,61,63,65,Pass
29,2,57,47,49,48,Fail
30,6,86,79,82,84,Pass
31,3,61,53,56,55,Fail
32,7,87,81,84,86,Pass
33,1,44,34,39,37,Fail
34,5,79,69,72,73,Pass
35,4,73,64,67,69,Pass
36,2,56,46,48,47,Fail
37,6,84,77,80,82,Pass
38,3,68,57,61,60,Fail
39,7,92,88,90,91,Pass
40,4,75,65,68,70,Pass
41,2,60,50,54,53,Fail
42,5,76,66,69,71,Pass
43,6,81,74,77,79,Pass
44,1,49,39,43,41,Fail
45,7,90,85,88,89,Pass
46,3,64,54,58,56,Fail
47,8,94,89,91,93,Pass
48,4,72,62,66,67,Pass
49,2,55,45,47,46,Fail
50,6,85,78,81,83,Pass
51,3,62,52,55,54,Fail
52,7,88,83,86,87,Pass
53,1,46,36,41,39,Fail
54,5,78,68,71,72,Pass
55,4,74,63,65,67,Pass
56,2,57,48,50,49,Fail
57,6,83,76,79,80,Pass
58,3,65,55,59,58,Fail
59,7,91,87,89,90,Pass
60,4,73,64,66,68,Pass
61,2,58,49,52,51,Fail
62,5,77,67,70,71,Pass
63,6,82,75,78,79,Pass
64,1,47,37,42,40,Fail
65,7,89,84,87,88,Pass
66,3,66,56,60,58,Fail
67,8,95,90,92,94,Pass
68,4,70,60,64,65,Pass
69,2,56,46,49,47,Fail
70,6,86,80,82,84,Pass
71,3,63,53,57,55,Fail
72,7,88,82,85,86,Pass
73,1,45,35,40,38,Fail
74,5,79,69,73,74,Pass
75,4,72,62,66,67,Pass
76,2,57,48,51,49,Fail
77,6,84,77,80,81,Pass
78,3,67,57,60,59,Fail
79,7,92,88,90,91,Pass
80,4,75,65,69,70,Pass
81,2,59,50,53,52,Fail
82,5,76,66,70,71,Pass
83,6,83,76,79,80,Pass
84,1,48,38,42,40,Fail
85,7,90,85,88,89,Pass
86,3,65,55,58,57,Fail
87,8,94,89,91,93,Pass
88,4,71,61,65,66,Pass
89,2,55,45,48,46,Fail
90,6,85,78,82,83,Pass
91,3,62,52,56,54,Fail
92,7,87,82,85,86,Pass
93,1,46,36,41,39,Fail
94,5,78,68,72,73,Pass
95,4,73,63,67,68,Pass
96,2,56,47,50,48,Fail
97,6,84,77,80,82,Pass
98,3,66,56,59,58,Fail
99,7,91,86,89,90,Pass
100,4,74,64,66,67,Pass
